fid,dim,iid,ela_distr.skewness,fitness_distance.fitness_std,nbc.nn_nb.sd_ratio,nbc.nb_fitness.cor,ela_meta.lin_simple.adj_r2,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_w_interact.adj_r2
1,2,1,0.7379452585585171,0.015725606868634605,0.7112257042998863,-0.1756031576248207,0.29454480217208434,0.2970131192551413,1.0,1.0
1,3,1,0.5973337932190562,0.027120700239378924,0.8147500486224805,-0.28248979481667613,0.27723625852467726,0.2803206402387211,1.0,1.0
1,4,1,0.5795143481994984,0.030209450903555726,0.8694481823623065,-0.3305608020568489,0.4598948523174998,0.46230109053939555,1.0,1.0
1,5,1,0.5162544224236133,0.03214377135437186,0.906165909964288,-0.35287467132448314,0.6036247204534783,0.6053137199813176,1.0,1.0
2,2,1,0.7501735654094298,0.00269306450296982,0.40596200755253947,-0.16688345796079906,0.09994123508857548,0.10102961255059263,0.9979324802318398,0.9981556539596794
2,3,1,0.8641097040000336,0.0010475425632490028,0.5902935032474719,-0.14760198900422133,0.8843260888260741,0.8845889687821394,0.9979917817389133,0.9982152357287766
2,4,1,0.957856131247878,0.0029289253178100636,0.6821194048403174,-0.2061828684417934,0.7842638919420797,0.7846575108499207,0.9979388692072536,0.9992761119755105
2,5,1,1.0285298604557034,0.004404686957690765,0.7355611373298035,-0.26257372948883567,0.662035021332612,0.6626500421702233,0.9969793154278457,0.9988948627556816
3,2,1,0.8947815645691785,0.013275707861426733,0.5023595234839561,-0.12321675777966452,0.7049793511538585,0.705423923719217,0.9838438333239529,0.991247479532952
3,3,1,0.7908730368940361,0.018831261325794418,0.7007228034352999,-0.20748540972237747,0.6778623589690437,0.6790011305207162,0.9797362630381233,0.9887866482566681
3,4,1,1.0011268128236268,0.02031463583503344,0.8000606184467826,-0.3451176428013178,0.16709867393850916,0.16891855301602296,0.9023606478471919,0.9698589847218315
3,5,1,0.6643344636803079,0.027860646245868943,0.8487563407725902,-0.33904669026243023,0.6015453951574765,0.6031138214667714,0.9718906750132027,0.9851348202862333
4,2,1,1.464793870286163,0.007605833032038145,0.5450726792602493,-0.14061013293199834,0.49182327851791485,0.49353352239688547,0.8327400964716294,0.9510705493794036
4,3,1,2.6430929624854853,0.002218059064762371,0.7235102739017196,-0.18940615127599092,0.3239768153067148,0.3261225952523678,0.7382689042152731,0.9339278418465611
4,4,1,2.508513706164108,0.005563432318152086,0.8068637155513743,-0.2571591992016893,0.32292001787021357,0.3257654394444735,0.7403176949733188,0.9341041105313396
4,5,1,2.40825775515467,0.0037531408539981537,0.8411296907030804,-0.30088456593893503,0.30544026944626557,0.3077268432961641,0.7221745857283203,0.9254742854720077
5,2,1,0.0011481414795283405,0.03308123411856018,0.5448082051484647,-0.09885725279819496,1.0,1.0,1.0,1.0
5,3,1,-0.001198613018144771,0.04728309512435086,0.6622217051986098,-0.16397528865738317,1.0,1.0,1.0,1.0
5,4,1,-0.002257189897246994,0.05203697715237471,0.7262276977403019,-0.21884660768773634,1.0,1.0,1.0,1.0
5,5,1,-0.0059949722277421865,0.05481294215964157,0.7593416295711787,-0.26228923777211227,1.0,1.0,1.0,1.0
6,2,1,0.9619465576847239,0.0001004332925390296,0.6760665397802305,-0.09349729359116526,0.8731181115221769,0.9116500755772867,0.9549623567731084,0.9943006392018104
6,3,1,2.2000652471926956,2.0235557086262613e-05,0.7623588418175072,-0.1325321403007565,0.6330206091590953,0.8492473174399104,0.7385179191272152,0.9879549740350497
6,4,1,1.3860891217002456,7.54571622930775e-05,0.8234800442685167,-0.2157575381917446,0.7275499063142553,0.8225024775905574,0.8674229212364953,0.9813510655919225
6,5,1,0.9555956506859252,0.0057644261179430455,0.8451095809319554,-0.28893215507498055,0.5982688721116252,0.7871098634323472,0.756384110896704,0.9703802091262084
7,2,1,1.5648714098234213,0.0014732815950186575,0.5009374061998051,-0.130029391523967,0.03633509523512266,0.7113494169323562,0.31282214409629605,0.9940245840777944
7,3,1,1.2601911218100916,0.009022831250263595,0.7126118483353232,-0.24064438885838868,0.13704466220892633,0.4272563092877404,0.7007169627765865,0.9895797567592821
7,4,1,1.9468689783156083,0.003961479053722105,0.7951330135643616,-0.2089518525333831,0.5448277374531671,0.8861377300762482,0.6547115328833831,0.9952446389773152
