fid,distance,dim
1,0.002,2
2,0.028,2
3,0.013,2
4,0.001,2
5,0.001,2
6,0.007,2
7,0.003,2
8,0.018,2
9,0.006,2
10,0.001,2
11,0.019,2
12,0.001,2
13,0.011,2
14,0.026,2
15,0.006,2
16,0.007,2
17,0.011,2
18,0.009,2
19,0.002,2
20,0.006,2
21,0.004,2
22,0.004,2
23,0.006,2
24,0.02,2
1,0.32,3
2,0.29,3
3,0.31,3
4,0.21,3
5,0.38,3
6,0.24,3
7,0.26,3
8,0.26,3
9,0.23,3
10,0.27,3
11,0.3,3
12,0.25,3
13,0.34,3
14,0.25,3
15,0.29,3
16,0.19,3
17,0.32,3
18,0.32,3
19,0.27,3
20,0.26,3
21,0.21,3
22,0.32,3
23,0.22,3
24,0.27,3
