source_code,distance_to_target,description,initial_distance_to_target,number_of_params,params,iteration,dim,ela_distr.skewness,fitness_distance.fitness_std,nbc.nn_nb.sd_ratio,nbc.nb_fitness.cor,ela_meta.lin_simple.adj_r2,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_w_interact.adj_r2
"import numpy as np

def problem(x: np.ndarray) -> float:
    """"""
    Synthetic 2D benchmark with a dominant quadratic core (including an interaction term)
    plus a small nonlinear/asymmetric perturbation.

    Structure:
      f(x1,x2) = a(x1^2 + x2^2) + b(x1*x2) + d1*x1 + d2*x2
                 + e * sin(x1) * cos(x2)
                 + g * exp(-((x1-m1)^2 + (x2-m2)^2)/s)

    The quadratic part provides high quadratic explainability (both simple and full),
    while the sinusoidal and off-center Gaussian terms add mild ruggedness and
    positive skew to the fitness distribution.
    """"""
    x1 = float(x[0])
    x2 = float(x[1])

    # Dominant quadratic core
    a = 0.55
    b = 0.35
    d1 = 0.06
    d2 = -0.04

    # Mild nonlinearity/ruggedness (breaks perfect quadratic fit)
    e = 0.18

    # Asymmetric bump to induce mild skewness / alter neighborhood relations
    g = 0.55
    m1, m2 = 1.6, -0.6
    s = 1.8

    quad = a * (x1 * x1 + x2 * x2) + b * (x1 * x2) + d1 * x1 + d2 * x2
    ripple = e * np.sin(x1) * np.cos(x2)
    bump = g * np.exp(-((x1 - m1) ** 2 + (x2 - m2) ** 2) / s)

    return float(quad + ripple + bump)",1.033771559184311,"
    Synthetic 2D benchmark with a dominant quadratic core (including an interaction term)
    plus a small nonlinear/asymmetric perturbation.

    Structure:
      f(x1,x2) = a(x1^2 + x2^2) + b(x1*x2) + d1*x1 + d2*x2
                 + e * sin(x1) * cos(x2)
                 + g * exp(-((x1-m1)^2 + (x2-m2)^2)/s)

    The quadratic part provides high quadratic explainability (both simple and full),
    while the sinusoidal and off-center Gaussian terms add mild ruggedness and
    positive skew to the fitness distribution.
    ",,,,1,2,0.27192567584113425,0.30951914159644806,0.8827460743652145,0.8249775562292525,0.0008790872665025403,0.22161301869013578,0.7984339957963758,0.9996241513462869
"import numpy as np

def problem(x: np.ndarray) -> float:
    """"""
    Synthetic 2D benchmark designed as a mostly-quadratic landscape with
    an interaction term, mild linear tilt, and small periodic/cubic
    components to shape ELA statistics.

    f(x,y) =
      1.15(x^2 + y^2) + 0.75 x y + 0.25 x - 0.15 y
      + 0.18 sin(2.2πx) + 0.12 sin(2.2πy) + 0.08 x^3
    where x,y are the two components of the input vector.
    """"""
    x = np.asarray(x, dtype=float)
    if x.ndim != 1 or x.size != 2:
        raise ValueError(""Input x must be a 1D array of shape (2,)."")
    x1, x2 = x[0], x[1]

    # Mostly quadratic structure with interaction (x*y), plus linear tilt.
    quad = 1.15 * (x1**2 + x2**2) + 0.75 * x1 * x2 + 0.25 * x1 - 0.15 * x2

    # Mild non-polynomial components to affect distribution/skewness and NN structure.
    trig = 0.18 * np.sin(2.2 * np.pi * x1) + 0.12 * np.sin(2.2 * np.pi * x2)

    # Asymmetric cubic component to introduce skewness.
    cubic = 0.08 * (x1**3)

    return float(quad + trig + cubic + 1.0)",1.0220142886420076,"
    Synthetic 2D benchmark designed as a mostly-quadratic landscape with
    an interaction term, mild linear tilt, and small periodic/cubic
    components to shape ELA statistics.

    f(x,y) =
      1.15(x^2 + y^2) + 0.75 x y + 0.25 x - 0.15 y
      + 0.18 sin(2.2πx) + 0.12 sin(2.2πy) + 0.08 x^3
    where x,y are the two components of the input vector.
    ",,,,1,2,0.3035773666171292,0.24752931925209068,0.8722481302556314,0.8331541524674766,0.08864119534436259,0.2976833716378939,0.7970367162936227,0.9998799995169271
"import numpy as np

def problem(x: np.ndarray) -> float:
    """"""
    Synthetic 2D continuous optimization landscape on [-5,5]^N.
    Uses a quadratic core (with an interaction term) plus small linear tilt,
    mild cubic asymmetry, and low-amplitude sinusoidal ruggedness:

      f(x1,x2) = a(x1-1)^2 + b(x2+0.5)^2 + c(x1-1)(x2+0.5)
                 + d1*x1 + d2*x2 + g*x1^3/25
                 + r*(sin(k1*x1)+sin(k2*x2)) + s*sin(k3*(x1+x2))

    For N>2, remaining coordinates are ignored (effectively fixed at 0).
    """"""
    x = np.asarray(x, dtype=float).ravel()
    if x.size < 2:
        raise ValueError(""Input x must have at least 2 dimensions."")

    x1, x2 = x[0], x[1]

    # Quadratic core (dominant model fit: quad simple < quad with interaction)
    a = 0.65
    b = 0.85
    c = -0.28  # interaction term strength

    dx1 = x1 - 1.0
    dx2 = x2 + 0.5

    core_quad = a * dx1 * dx1 + b * dx2 * dx2 + c * dx1 * dx2

    # Linear tilt (subordinate to quadratic)
    d1 = 0.22
    d2 = -0.15
    linear = d1 * x1 + d2 * x2

    # Mild asymmetry to induce slight positive skewness
    g = 0.55
    cubic_asym = g * (x1 ** 3) / 25.0

    # Low-amplitude ruggedness to reduce perfect (co)linearity/quadratic fit
    r = 0.12
    k1 = 2.3
    k2 = 2.7
    sinus_sep = r * (np.sin(k1 * x1) + np.sin(k2 * x2))

    s = 0.065
    k3 = 1.5
    sinus_inter = s * np.sin(k3 * (x1 + x2))

    # Small penalty on extra dims (kept deterministic and minimal)
    extra_penalty = 0.0
    if x.size > 2:
        extra = x[2:]
        extra_penalty = 0.01 * np.sum(extra * extra)

    return float(core_quad + linear + cubic_asym + sinus_sep + sinus_inter + extra_penalty)",1.0033780395878864,"
    Synthetic 2D continuous optimization landscape on [-5,5]^N.
    Uses a quadratic core (with an interaction term) plus small linear tilt,
    mild cubic asymmetry, and low-amplitude sinusoidal ruggedness:

      f(x1,x2) = a(x1-1)^2 + b(x2+0.5)^2 + c(x1-1)(x2+0.5)
                 + d1*x1 + d2*x2 + g*x1^3/25
                 + r*(sin(k1*x1)+sin(k2*x2)) + s*sin(k3*(x1+x2))

    For N>2, remaining coordinates are ignored (effectively fixed at 0).
    ",,,,1,2,0.2867593456391785,0.3677276171241379,0.9092759946473927,0.8376168521726098,0.2222693836224106,0.2733021903532369,0.9359582061566898,0.9998071690738881
"import numpy as np

def problem(x: np.ndarray) -> float:
    """"""
    2D synthetic benchmark with dominant quadratic structure plus smooth nonlinear
    perturbations. The core is a (full) quadratic polynomial:
        Q(x,y) = a(x^2 + y^2) + b x y + c x + d y
    and it is perturbed by:
        + e * exp(-((x-x0)^2 + (y-y0)^2)/s)  (localized skewing bump)
        + g * sin(2x) * cos(2y)             (small interaction nonlinearity)

    Input is assumed in [-5,5]^2.
    """"""
    x = np.asarray(x, dtype=float)
    if x.ndim != 1 or x.shape[0] != 2:
        raise ValueError(""Expected x with shape (2,)."")
    x1, x2 = x[0], x[1]

    # Dominant quadratic component (so quad models explain much of the landscape)
    a = 1.2
    b = 0.35          # interaction term (improves full quadratic over simple quadratic)
    c = 0.15
    d = -0.10
    Q = a * (x1**2 + x2**2) + b * (x1 * x2) + c * x1 + d * x2

    # Smooth localized bump to induce non-Gaussian / skewed fitness distribution
    x0, y0, s = 1.15, -0.75, 0.55
    e = 0.25
    bump = e * np.exp(-((x1 - x0)**2 + (x2 - y0)**2) / s)

    # Small oscillatory interaction term to reduce linear fit quality
    g = 0.15
    osc = g * np.sin(2.0 * x1) * np.cos(2.0 * x2)

    return float(Q + bump + osc)",1.0786211490094864,"
    2D synthetic benchmark with dominant quadratic structure plus smooth nonlinear
    perturbations. The core is a (full) quadratic polynomial:
        Q(x,y) = a(x^2 + y^2) + b x y + c x + d y
    and it is perturbed by:
        + e * exp(-((x-x0)^2 + (y-y0)^2)/s)  (localized skewing bump)
        + g * sin(2x) * cos(2y)             (small interaction nonlinearity)

    Input is assumed in [-5,5]^2.
    ",,,,1,2,0.1735633892793887,0.3811924998314047,0.888687554937479,0.8035226053749921,0.00043784224260218294,0.06188496109353755,0.9494930527739363,0.999963072629273
"import numpy as np

def problem(x: np.ndarray) -> float:
    """"""
    Synthetic 2D benchmark with dominant quadratic structure plus a small linear and
    weak nonlinear (cubic) skewing term.

    Let y = x - [1.2, -0.7]. The objective is
      f(x) = 0.60*(y0^2 + 1.10*y1^2) + 0.35*y0*y1 + 0.15*(y0 + y1)
             + 0.02*(y0^3 + 0.50*y1^3) .
    This is mainly a quadratic bowl with an interaction term, where the weak cubic
    term introduces mild distribution skewness.
    """"""
    y = x - np.array([1.2, -0.7], dtype=float)
    y0, y1 = float(y[0]), float(y[1])

    q = 0.60 * (y0**2 + 1.10 * y1**2) + 0.35 * (y0 * y1)
    l = 0.15 * (y0 + y1)
    cubic = 0.02 * (y0**3 + 0.50 * y1**3)

    return q + l + cubic",0.9788339183735913,"
    Synthetic 2D benchmark with dominant quadratic structure plus a small linear and
    weak nonlinear (cubic) skewing term.

    Let y = x - [1.2, -0.7]. The objective is
      f(x) = 0.60*(y0^2 + 1.10*y1^2) + 0.35*y0*y1 + 0.15*(y0 + y1)
             + 0.02*(y0^3 + 0.50*y1^3) .
    This is mainly a quadratic bowl with an interaction term, where the weak cubic
    term introduces mild distribution skewness.
    ",,,,1,2,0.22692536570969374,0.35438633028296396,0.9005371917819738,0.8354996519053797,0.16885299040528684,0.32618492065951027,0.8564652974312665,1.0
"import numpy as np

def problem(x: np.ndarray) -> float:
    """"""
    Deterministic 2D synthetic benchmark with predominantly quadratic structure,
    plus small asymmetric (cubic) terms and a tiny sinusoidal perturbation.

    Let u = x0 - 0.2 and v = x1 + 0.3. The objective is:
        f(u,v) = 1.2*u^2 + 0.8*v^2 + 0.6*u*v
                 + 0.15*u^3 - 0.10*v^3
                 + 0.02*(u^4 + v^4)
                 + 0.03*sin(3*u)*cos(2*v)

    Defined for x in [-5,5]^N (here N=2).
    """"""
    u = float(x[0]) - 0.2
    v = float(x[1]) + 0.3

    quad = 1.2 * u * u + 0.8 * v * v + 0.6 * u * v
    cubic = 0.15 * (u ** 3) - 0.10 * (v ** 3)
    quart = 0.02 * (u ** 4 + v ** 4)
    ripple = 0.03 * np.sin(3.0 * u) * np.cos(2.0 * v)

    return quad + cubic + quart + ripple",1.0628420275481276,"
    Deterministic 2D synthetic benchmark with predominantly quadratic structure,
    plus small asymmetric (cubic) terms and a tiny sinusoidal perturbation.

    Let u = x0 - 0.2 and v = x1 + 0.3. The objective is:
        f(u,v) = 1.2*u^2 + 0.8*v^2 + 0.6*u*v
                 + 0.15*u^3 - 0.10*v^3
                 + 0.02*(u^4 + v^4)
                 + 0.03*sin(3*u)*cos(2*v)

    Defined for x in [-5,5]^N (here N=2).
    ",,,,1,2,0.3002718932942353,0.2161166262159485,0.9011462266552971,0.8047393438693338,0.1070867287255606,0.21730923564201005,0.861442223947775,0.9938861688136587
"import numpy as np

def problem(x: np.ndarray) -> float:
    """"""
    Synthetic 2D benchmark with a mostly quadratic (including interaction) structure plus
    small linear and localized nonlinear terms.

    Let x = [u, v]. We use a general quadratic form with a cross term:
        q(u,v) = a*u^2 + b*v^2 + c*u*v + d*u + e*v
    and add a small sinusoidal perturbation and a localized Gaussian bump:
        f(u,v) = s*q(u,v) + t*(sin(k*u) + 0.6*sin(l*v)) + g*exp(-((u-x0)^2+(v-y0)^2)/sigma)
    """"""
    u, v = float(x[0]), float(x[1])

    # Quadratic core with interaction (aiming for high quad R^2)
    a, b, c = 0.90, 0.55, 0.35
    d, e = -0.65, 0.40

    q = a * u * u + b * v * v + c * u * v + d * u + e * v

    # Mild nonlinearity to keep linear fit reasonable and tune distribution skewness
    t = 0.035
    k, l = 0.85, 0.65
    trig = np.sin(k * u) + 0.6 * np.sin(l * v)

    # Localized positive bump (adds slight positive skew and affects neighborhood-better structure)
    g = 0.22
    x0, y0 = 2.0, -1.0
    sigma = 3.2
    bump = np.exp(-((u - x0) ** 2 + (v - y0) ** 2) / sigma)

    # Scaling to keep overall fitness variance in a moderate range over [-5,5]^2
    s = 0.22
    return float(s * q + t * trig + g * bump)",1.0137567350087056,"
    Synthetic 2D benchmark with a mostly quadratic (including interaction) structure plus
    small linear and localized nonlinear terms.

    Let x = [u, v]. We use a general quadratic form with a cross term:
        q(u,v) = a*u^2 + b*v^2 + c*u*v + d*u + e*v
    and add a small sinusoidal perturbation and a localized Gaussian bump:
        f(u,v) = s*q(u,v) + t*(sin(k*u) + 0.6*sin(l*v)) + g*exp(-((u-x0)^2+(v-y0)^2)/sigma)
    ",,,,1,2,0.2325880338433908,0.3338786838302614,0.8777616553807323,0.8060038363760375,0.07364054542193835,0.19526193129326716,0.8886834258211695,0.9997890191459581
"import numpy as np

def problem(x: np.ndarray) -> float:
    """"""
    Synthetic 2D benchmark landscape composed of a rotated quadratic bowl plus mild
    periodic perturbations:

        Let x = (u, v). Define centered coordinates a = u - 1, b = v + 2.
        f(u,v) = 0.20*a^2 + 0.30*b^2 + 0.15*a*b
                 + 0.15*sin(2u) + 0.10*cos(3v)
                 + 0.05*(u - v).

    This yields a strongly quadratic structure (with interaction via a*b) while
    adding controlled non-quadratic curvature through sinusoidal terms.
    """"""
    u = float(x[0])
    v = float(x[1])

    a = u - 1.0
    b = v + 2.0

    quad = 0.20 * a * a + 0.30 * b * b + 0.15 * a * b
    ripple = 0.15 * np.sin(2.0 * u) + 0.10 * np.cos(3.0 * v)
    linear_tilt = 0.05 * (u - v)

    return quad + ripple + linear_tilt",1.0871821933702723,"
    Synthetic 2D benchmark landscape composed of a rotated quadratic bowl plus mild
    periodic perturbations:

        Let x = (u, v). Define centered coordinates a = u - 1, b = v + 2.
        f(u,v) = 0.20*a^2 + 0.30*b^2 + 0.15*a*b
                 + 0.15*sin(2u) + 0.10*cos(3v)
                 + 0.05*(u - v).

    This yields a strongly quadratic structure (with interaction via a*b) while
    adding controlled non-quadratic curvature through sinusoidal terms.
    ",,,,1,2,0.2892871218460826,0.18172935726894895,0.8838428024556829,0.8818275649354935,0.5027926779673453,0.6013561027811252,0.911370041490571,0.9991635250493819
"import numpy as np

def problem(x: np.ndarray) -> float:
    """"""
    Synthetic 2D polynomial landscape with both linear and quadratic (including interaction)
    terms, plus a small odd (cubic) component and low-amplitude sinusoids to induce
    mild distribution skewness and non-perfect quadratic fit.

    For x = [x0, x1], define z = x0 - 1 and w = x1 + 2, and compute:
        f = (0.60 z^2 + 0.20 w^2 + 0.35 z w)          # quadratic with interaction
          + (0.30 z - 0.15 w)                         # linear
          + (0.12 z^3 + 0.05 w^3)                    # mild skew (odd terms)
          + 0.08 sin(3 z) + 0.06 sin(2 w)            # small nonlinearity
    """"""
    z = x[0] - 1.0
    w = x[1] + 2.0

    quad = 0.60 * z * z + 0.20 * w * w + 0.35 * z * w
    lin = 0.30 * z - 0.15 * w
    cubic = 0.12 * z**3 + 0.05 * w**3
    ripple = 0.08 * np.sin(3.0 * z) + 0.06 * np.sin(2.0 * w)

    return float(quad + lin + cubic + ripple)",0.8712015862299048,"
    Synthetic 2D polynomial landscape with both linear and quadratic (including interaction)
    terms, plus a small odd (cubic) component and low-amplitude sinusoids to induce
    mild distribution skewness and non-perfect quadratic fit.

    For x = [x0, x1], define z = x0 - 1 and w = x1 + 2, and compute:
        f = (0.60 z^2 + 0.20 w^2 + 0.35 z w)          # quadratic with interaction
          + (0.30 z - 0.15 w)                         # linear
          + (0.12 z^3 + 0.05 w^3)                    # mild skew (odd terms)
          + 0.08 sin(3 z) + 0.06 sin(2 w)            # small nonlinearity
    ",,,,1,2,0.40738016067273014,0.7264947326280742,0.6393109300676494,0.8974035256533813,0.6399980003251446,0.7455205373006927,0.8341009745469309,0.9999473442106004
"import numpy as np

def problem(x: np.ndarray) -> float:
    """"""
    Synthetic 2D benchmark with a predominantly quadratic bowl plus controlled
    higher-order and weak non-polynomial terms to adjust ELA statistics.

    Let u = x0 - 1 and v = x1 + 2. The objective is:
        f(u,v) =
            0.6 u^2 + 1.1 v^2 + 0.4 u v          (quadratic core)
          + 0.05 u^3 - 0.02 v^3                 (asymmetry / skewness)
          + 0.03 (u^4 + v^4)                    (mild non-quadraticity)
          + 0.20 sin(1.2 u) cos(0.8 v)         (weak interaction ripple)
    """"""
    u = x[0] - 1.0
    v = x[1] + 2.0

    quad = 0.6 * u**2 + 1.1 * v**2 + 0.4 * u * v
    cubic = 0.05 * u**3 - 0.02 * v**3
    quartic = 0.03 * (u**4 + v**4)
    ripple = 0.20 * np.sin(1.2 * u) * np.cos(0.8 * v)

    return float(quad + cubic + quartic + ripple)",1.1673470307313518,"
    Synthetic 2D benchmark with a predominantly quadratic bowl plus controlled
    higher-order and weak non-polynomial terms to adjust ELA statistics.

    Let u = x0 - 1 and v = x1 + 2. The objective is:
        f(u,v) =
            0.6 u^2 + 1.1 v^2 + 0.4 u v          (quadratic core)
          + 0.05 u^3 - 0.02 v^3                 (asymmetry / skewness)
          + 0.03 (u^4 + v^4)                    (mild non-quadraticity)
          + 0.20 sin(1.2 u) cos(0.8 v)         (weak interaction ripple)
    ",,,,1,2,0.3568605268928296,0.12270167747697758,0.9072432140116783,0.8875625994713092,0.5796242831994114,0.5927531223502001,0.9683576441660194,0.9964606897220802
