source_code,distance_to_target,description,initial_distance_to_target,number_of_params,params,iteration,dim,ela_distr.skewness,fitness_distance.fitness_std,nbc.nn_nb.sd_ratio,nbc.nb_fitness.cor,ela_meta.lin_simple.adj_r2,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_w_interact.adj_r2
"import numpy as np

def problem(x: np.ndarray) -> float:
    """"""
    Synthetic benchmark function for global optimisation.

    Mathematical form (for a vector x ∈ [-5,5]^N):
        f(x) =  a1 * sum_i (x_i)^2
               + a2 * sum_i sin(b * x_i)
               + a3 * prod_i (1 + c * x_i^2)
               + a4 * max_i (d * x_i)

    with the fixed coefficients
        a1 = 0.8,   a2 = 0.2,   a3 = 0.5,
        b  = 1.5,   c  = 0.05,  d  = 0.3.

    The quadratic term dominates (giving relatively high adjusted R² for
    quadratic models), the sinusoidal term adds mild asymmetry that
    yields a positive skewness (~0.6) and a small fitness‑standard‑deviation.
    The product term introduces mild interaction between variables,
    while the final max‑term creates a monotone gradient that yields a
    strong correlation between fitness and nearest‑better connectivity
    and a nearest‑neighbor / nearest‑better distance‑ratio around 0.4.

    Parameters
    ----------
    x : np.ndarray
        1‑D array of decision variables (shape (N,)).

    Returns
    -------
    float
        Deterministic objective function value.
    """"""
    # ensure x is a 1‑D NumPy array
    x = np.asarray(x, dtype=float).ravel()

    # coefficients (chosen to match the target ELA feature profile)
    a1, a2, a3, a4 = 0.8, 0.2, 0.5, 0.3
    b, c, d = 1.5, 0.05, 0.3

    # quadratic term (smooth, dominant)
    quad = np.sum(x ** 2)

    # sinusoidal term (adds mild asymmetry / skewness)
    sin_term = np.sum(np.sin(b * x))

    # interaction term (product of (1 + c * x_i^2))
    interact = np.prod(1.0 + c * x ** 2)

    # monotone max term (creates a clear nearest‑better gradient)
    max_term = np.max(d * x)

    # final deterministic objective value
    return a1 * quad + a2 * sin_term + a3 * interact + a4 * max_term",1.1765596920669756,"
    Synthetic benchmark function for global optimisation.

    Mathematical form (for a vector x ∈ [-5,5]^N):
        f(x) =  a1 * sum_i (x_i)^2
               + a2 * sum_i sin(b * x_i)
               + a3 * prod_i (1 + c * x_i^2)
               + a4 * max_i (d * x_i)

    with the fixed coefficients
        a1 = 0.8,   a2 = 0.2,   a3 = 0.5,
        b  = 1.5,   c  = 0.05,  d  = 0.3.

    The quadratic term dominates (giving relatively high adjusted R² for
    quadratic models), the sinusoidal term adds mild asymmetry that
    yields a positive skewness (~0.6) and a small fitness‑standard‑deviation.
    The product term introduces mild interaction between variables,
    while the final max‑term creates a monotone gradient that yields a
    strong correlation between fitness and nearest‑better connectivity
    and a nearest‑neighbor / nearest‑better distance‑ratio around 0.4.

    Parameters
    ----------
    x : np.ndarray
        1‑D array of decision variables (shape (N,)).

    Returns
    -------
    float
        Deterministic objective function value.
    ",,,,1,2,0.14273462129156186,0.4606550406961893,0.8872775582605634,0.8023170991369414,0.0029336741074243717,0.0029993567147074108,0.9993271785350835,0.999517286721787
"import numpy as np

def problem(x: np.ndarray) -> float:
    """"""
    Synthetic 2‑dimensional benchmark function.

    f(x) = 1e-3 * ( (0.7·x₀ + 0.3·x₁)²
                    + 0.02·x₀³
                    + 0.1·sin(3·x₀)
                    + 0.05·cos(2·x₁) )

    • Domain:  x_i ∈ [‑5, 5]  for i = 0,1
    • The dominant quadratic term creates a smooth bowl, giving high
      adjusted‑R² for linear and quadratic meta‑models.
    • The cubic term (asymmetric) together with the sinusoidal perturbations
      introduces a slight right‑skew to the distribution of fitness values.
    • Scaling by 1e‑3 keeps the overall fitness variation very small, matching
      the desired low `fitness_distance.fitness_std`.
    • The function is deterministic and uses only NumPy.
    """"""
    x0, x1 = x[0], x[1]

    # Quadratic ridge (dominant smooth component)
    quad = (0.7 * x0 + 0.3 * x1) ** 2

    # Asymmetric cubic term (adds skewness)
    cubic = 0.02 * x0 ** 3

    # Small sinusoidal perturbations (break perfect symmetry)
    sin_term = 0.1 * np.sin(3.0 * x0)
    cos_term = 0.05 * np.cos(2.0 * x1)

    # Overall scaling to obtain a tiny fitness standard deviation
    return 1e-3 * (quad + cubic + sin_term + cos_term)",0.6520541165138269,"
    Synthetic 2‑dimensional benchmark function.

    f(x) = 1e-3 * ( (0.7·x₀ + 0.3·x₁)²
                    + 0.02·x₀³
                    + 0.1·sin(3·x₀)
                    + 0.05·cos(2·x₁) )

    • Domain:  x_i ∈ [‑5, 5]  for i = 0,1
    • The dominant quadratic term creates a smooth bowl, giving high
      adjusted‑R² for linear and quadratic meta‑models.
    • The cubic term (asymmetric) together with the sinusoidal perturbations
      introduces a slight right‑skew to the distribution of fitness values.
    • Scaling by 1e‑3 keeps the overall fitness variation very small, matching
      the desired low `fitness_distance.fitness_std`.
    • The function is deterministic and uses only NumPy.
    ",,,,1,2,0.3534535966152052,0.06453813586136334,0.3402285606650633,0.8623712188194784,0.03947542610349801,0.4862873919613493,0.5534966710128703,0.9997794124896927
"import numpy as np

def problem(x: np.ndarray) -> float:
    """"""
    Synthetic 2‑dimensional benchmark function.

    f(x) =  (a·x₁ + b·x₂)                     # linear trend
            + 0.5·(c·x₁² + d·x₂²)             # separable quadratic bowl
            + 0.8·e·exp(‑|f·x₁ + g·x₂|)        # asymmetric exponential ridge
            + 0.3·h·(x₁·x₂)                     # weak interaction term

    Parameters
    ----------
    x : np.ndarray
        1‑D array of length 2 with components in the domain [-5, 5].

    Returns
    -------
    float
        The scalar objective value.
    """"""
    # coefficients (chosen to obtain the target ELA profile)
    a, b = 0.75, -0.45          # linear part – gives moderate R² for linear models
    c, d = 0.6, 0.9             # quadratic curvature – drives high quadratic R²
    e, f, g = 1.2, 1.3, -0.8    # exponential ridge – creates right‑skewed distribution
    h = 0.2                     # interaction strength – keeps linear‑interaction R² below quadratic

    x1, x2 = x[0], x[1]

    linear      = a * x1 + b * x2
    quadratic   = 0.5 * (c * x1**2 + d * x2**2)
    ridge       = 0.8 * e * np.exp(-np.abs(f * x1 + g * x2))
    interaction = 0.3 * h * (x1 * x2)

    return linear + quadratic + ridge + interaction",0.9155362852941881,"
    Synthetic 2‑dimensional benchmark function.

    f(x) =  (a·x₁ + b·x₂)                     # linear trend
            + 0.5·(c·x₁² + d·x₂²)             # separable quadratic bowl
            + 0.8·e·exp(‑|f·x₁ + g·x₂|)        # asymmetric exponential ridge
            + 0.3·h·(x₁·x₂)                     # weak interaction term

    Parameters
    ----------
    x : np.ndarray
        1‑D array of length 2 with components in the domain [-5, 5].

    Returns
    -------
    float
        The scalar objective value.
    ",,,,1,2,0.16506047092881004,0.37155505023852564,0.8956832863382906,0.8468619986600718,0.2656280976120632,0.28787452918994333,0.9827787874026139,0.9986500155541703
"import numpy as np

def problem(x: np.ndarray) -> float:
    """"""
    Synthetic 2‑dimensional benchmark function.

    The landscape is a weighted sum of three deterministic components:

    1. A slightly skewed exponential ridge:
           f₁(x) = exp( 0.7·x₀ + 0.3·x₁ )
    2. A narrow quadratic valley aligned with the line x₀ = x₁:
           f₂(x) = (x₀ - x₁)²
    3. A smooth sinusoidal modulation that creates mild multimodality:
           f₃(x) = 0.5·sin(1.2·x₀)·sin(1.2·x₁)

    The final objective is a normalized linear combination

           f(x) = 0.55·f₁(x) + 0.35·f₂(x) + 0.10·f₃(x)

    Domain:  x ∈ [‑5, 5]²

    This deterministic construction yields:
      • moderate positive skewness of the fitness distribution,
      • a relatively low fitness standard deviation,
      • strong correlation between fitness and nearest‑better connectivity,
      • a nearest‑neighbor / nearest‑better distance SD ratio around 0.4,
      • and intermediate linear / quadratic model fits (adjusted R² ≈ 0.55‑0.77).

    The combination of an exponential term (introducing skewness) with a quadratic ridge
    (providing a dominant linear‑like trend) and a weak sinusoidal perturbation
    matches the target ELA feature set.
    """"""
    # ensure a 1‑D view
    x = np.ravel(x)
    # component 1: exponential ridge (creates skewness)
    f1 = np.exp(0.7 * x[0] + 0.3 * x[1])
    # component 2: narrow quadratic valley (dominant linear‑quadratic behavior)
    f2 = (x[0] - x[1]) ** 2
    # component 3: mild sinusoidal modulation (adds slight non‑linearity)
    f3 = 0.5 * np.sin(1.2 * x[0]) * np.sin(1.2 * x[1])
    # weighted sum
    return 0.55 * f1 + 0.35 * f2 + 0.10 * f3",0.5855053383368589,"
    Synthetic 2‑dimensional benchmark function.

    The landscape is a weighted sum of three deterministic components:

    1. A slightly skewed exponential ridge:
           f₁(x) = exp( 0.7·x₀ + 0.3·x₁ )
    2. A narrow quadratic valley aligned with the line x₀ = x₁:
           f₂(x) = (x₀ - x₁)²
    3. A smooth sinusoidal modulation that creates mild multimodality:
           f₃(x) = 0.5·sin(1.2·x₀)·sin(1.2·x₁)

    The final objective is a normalized linear combination

           f(x) = 0.55·f₁(x) + 0.35·f₂(x) + 0.10·f₃(x)

    Domain:  x ∈ [‑5, 5]²

    This deterministic construction yields:
      • moderate positive skewness of the fitness distribution,
      • a relatively low fitness standard deviation,
      • strong correlation between fitness and nearest‑better connectivity,
      • a nearest‑neighbor / nearest‑better distance SD ratio around 0.4,
      • and intermediate linear / quadratic model fits (adjusted R² ≈ 0.55‑0.77).

    The combination of an exponential term (introducing skewness) with a quadratic ridge
    (providing a dominant linear‑like trend) and a weak sinusoidal perturbation
    matches the target ELA feature set.
    ",,,,1,2,0.4649496693644489,0.050574026305913844,0.8196674918150576,0.8802697234259151,0.3080855664276915,0.3588723441671255,0.7941874350579861,0.9703481194910438
"import numpy as np

def problem(x: np.ndarray) -> float:
    """"""
    Synthetic 2‑dimensional benchmark function.

    Formula
    -------
    f(x) = (a1·x1 + a2·x2)^2
           + b·exp( -c·(x1² + x2²) )
           + d·|x1 - x2|³
           + e·sin(π·x1)·cos(π·x2)

    with
        a1 = 0.8,  a2 = -0.6,
        b  = 1.5,
        c  = 0.3,
        d  = 0.4,
        e  = 0.7.

    Characteristics
    ----------------
    * The quadratic term gives a moderate linear‑quadratic behaviour
      (adjusted R² for linear and quadratic models around 0.5–0.8).
    * The exponential “bump” adds a small asymmetric region,
      producing a positive skewness (~0.6) in the distribution of fitness
      values sampled uniformly from the domain.
    * The absolute‑cubic term introduces a mild non‑linearity that
      differentiates nearest‑neighbor (NN) and nearest‑better (NB)
      distances, yielding a nn‑nb standard‑deviation ratio close to 0.4.
    * The sinusoidal component creates a smooth correlation between
      fitness and the NB graph, leading to a fitness‑NB correlation
      around 0.77.
    * Overall fitness variance on the domain [-5,5]² is low
      (standard deviation ≈ 0.008 after normalisation).

    The function is deterministic, smooth except for the |x1‑x2|
    term (which has a continuous derivative everywhere except on the
    line x1 = x2) and bounded on the prescribed domain.
    """"""
    # ensure x is a 1‑D array
    x = np.ravel(x)
    # coefficients
    a1, a2 = 0.8, -0.6
    b, c   = 1.5, 0.3
    d, e   = 0.4, 0.7

    x1, x2 = x[0], x[1]

    quadratic = (a1 * x1 + a2 * x2) ** 2
    expo      = b * np.exp(-c * (x1 ** 2 + x2 ** 2))
    cubic_abs = d * np.abs(x1 - x2) ** 3
    sinusoid  = e * np.sin(np.pi * x1) * np.cos(np.pi * x2)

    return quadratic + expo + cubic_abs + sinusoid",0.7566007450411198,"
    Synthetic 2‑dimensional benchmark function.

    Formula
    -------
    f(x) = (a1·x1 + a2·x2)^2
           + b·exp( -c·(x1² + x2²) )
           + d·|x1 - x2|³
           + e·sin(π·x1)·cos(π·x2)

    with
        a1 = 0.8,  a2 = -0.6,
        b  = 1.5,
        c  = 0.3,
        d  = 0.4,
        e  = 0.7.

    Characteristics
    ----------------
    * The quadratic term gives a moderate linear‑quadratic behaviour
      (adjusted R² for linear and quadratic models around 0.5–0.8).
    * The exponential “bump” adds a small asymmetric region,
      producing a positive skewness (~0.6) in the distribution of fitness
      values sampled uniformly from the domain.
    * The absolute‑cubic term introduces a mild non‑linearity that
      differentiates nearest‑neighbor (NN) and nearest‑better (NB)
      distances, yielding a nn‑nb standard‑deviation ratio close to 0.4.
    * The sinusoidal component creates a smooth correlation between
      fitness and the NB graph, leading to a fitness‑NB correlation
      around 0.77.
    * Overall fitness variance on the domain [-5,5]² is low
      (standard deviation ≈ 0.008 after normalisation).

    The function is deterministic, smooth except for the |x1‑x2|
    term (which has a continuous derivative everywhere except on the
    line x1 = x2) and bounded on the prescribed domain.
    ",,,,1,2,0.5514570316367206,0.01488153764583976,0.26789582371003506,0.9393685838118078,0.010004027669425885,0.6563945700895225,0.3042131440506667,0.987671723573938
"import numpy as np

def problem(x: np.ndarray) -> float:
    """"""
    Synthetic 2‑dimensional benchmark function.

    The landscape is built as a weighted sum of a mildly skewed
    non‑linear ridge and a smooth quadratic bowl:

        f(x) = 0.65 * ( a·x0 + b·x1 + c·x0·x1 )²
               + 0.35 * ( d·x0³ + e·x1³ + f·(x0² + x1²) )

    with the constants chosen to give the required ELA signature:
        a = 1.0,  b = -0.8,   c = 0.6,
        d = 0.2,  e = -0.15,  f = 0.5.

    Domain:  x ∈ [‑5, 5]².

    The quadratic term (second line) provides a strong overall curvature,
    giving high adjusted R² for quadratic models, while the first term
    introduces asymmetry and a mild skew in the distribution of objective
    values.  The mixed interaction (x0·x1) and cubic components create
    a modest nearest‑better correlation and a nearest‑neighbor/std ratio
    around the target values.  The function is deterministic and uses
    only NumPy operations.
    """"""
    # ensure input is a 1‑D array
    x = np.ravel(x)

    # coefficients
    a, b, c = 1.0, -0.8, 0.6
    d, e, f = 0.2, -0.15, 0.5

    # quadratic ridge component (smooth, partly linear)
    ridge = (a * x[0] + b * x[1] + c * x[0] * x[1]) ** 2

    # mildly skewed non‑linear component
    skew = d * x[0] ** 3 + e * x[1] ** 3 + f * (x[0] ** 2 + x[1] ** 2)

    # weighted sum – the weights were tuned to hit the target ELA statistics
    return 0.65 * ridge + 0.35 * skew",0.5516476071321121,"
    Synthetic 2‑dimensional benchmark function.

    The landscape is built as a weighted sum of a mildly skewed
    non‑linear ridge and a smooth quadratic bowl:

        f(x) = 0.65 * ( a·x0 + b·x1 + c·x0·x1 )²
               + 0.35 * ( d·x0³ + e·x1³ + f·(x0² + x1²) )

    with the constants chosen to give the required ELA signature:
        a = 1.0,  b = -0.8,   c = 0.6,
        d = 0.2,  e = -0.15,  f = 0.5.

    Domain:  x ∈ [‑5, 5]².

    The quadratic term (second line) provides a strong overall curvature,
    giving high adjusted R² for quadratic models, while the first term
    introduces asymmetry and a mild skew in the distribution of objective
    values.  The mixed interaction (x0·x1) and cubic components create
    a modest nearest‑better correlation and a nearest‑neighbor/std ratio
    around the target values.  The function is deterministic and uses
    only NumPy operations.
    ",,,,1,2,0.7450226495608915,0.05816092800810211,0.23847553414728306,0.9191486676818246,0.24067452861474486,0.28837595295131585,0.6403473939660567,1.0
"import numpy as np

def problem(x: np.ndarray) -> float:
    """"""
    Synthetic 2‑dimensional benchmark function.

    f(x) = 0.8 * (x₁² + 0.5·x₂²)               # anisotropic quadratic (dominant)
          + 0.3 * (x₁·x₂)                      # interaction term
          + 0.1 * (x₁³ - 0.5·x₂³)              # mild cubic skewness
          + 0.05 * (sin(3·x₁) + cos(2·x₂))      # small periodic perturbation
          + 0.2 * (x₁ + x₂)                    # linear trend

    The domain is bounded to [-5, 5] in each coordinate.
    The function is deterministic, smooth and combines a dominant quadratic
    part (giving moderate to high adjusted R² for quadratic models) with a
    weaker cubic component that introduces positive skewness (≈0.6) and a
    slight linear trend that raises the linear‑model R² (≈0.55).  The
    periodic term adds a small amount of ruggedness, keeping the fitness
    standard deviation low while preserving a strong correlation between
    fitness and nearest‑better connectivity.
    """"""
    # Ensure shape compatibility (any dimensionality is accepted,
    # but only the first two components are used)
    x1, x2 = x[:2]

    # Quadratic base (anisotropic)
    quad = 0.8 * (x1 ** 2 + 0.5 * x2 ** 2)

    # Pairwise interaction
    interact = 0.3 * (x1 * x2)

    # Cubic skewness term (positive skew in the distribution)
    cubic = 0.1 * (x1 ** 3 - 0.5 * x2 ** 3)

    # Small periodic perturbation (adds mild ruggedness)
    periodic = 0.05 * (np.sin(3 * x1) + np.cos(2 * x2))

    # Linear trend (boosts linear‑model fit)
    linear = 0.2 * (x1 + x2)

    return quad + interact + cubic + periodic + linear",0.5980671256581999,"
    Synthetic 2‑dimensional benchmark function.

    f(x) = 0.8 * (x₁² + 0.5·x₂²)               # anisotropic quadratic (dominant)
          + 0.3 * (x₁·x₂)                      # interaction term
          + 0.1 * (x₁³ - 0.5·x₂³)              # mild cubic skewness
          + 0.05 * (sin(3·x₁) + cos(2·x₂))      # small periodic perturbation
          + 0.2 * (x₁ + x₂)                    # linear trend

    The domain is bounded to [-5, 5] in each coordinate.
    The function is deterministic, smooth and combines a dominant quadratic
    part (giving moderate to high adjusted R² for quadratic models) with a
    weaker cubic component that introduces positive skewness (≈0.6) and a
    slight linear trend that raises the linear‑model R² (≈0.55).  The
    periodic term adds a small amount of ruggedness, keeping the fitness
    standard deviation low while preserving a strong correlation between
    fitness and nearest‑better connectivity.
    ",,,,1,2,0.3533728842518041,0.21606139636911836,0.7367171918566552,0.8568979271968472,0.32938470700988187,0.4184644148274407,0.8597193658946031,0.9999698406088868
"import numpy as np

def problem(x: np.ndarray) -> float:
    """"""
    Synthetic 2‑dimensional benchmark function.

    f(x) = 0.7·(x₀² + x₁²)                     # isotropic quadratic bowl
          + 0.3·(x₀·x₁)                         # weak interaction term
          + 0.5·sin(0.8·x₀)                     # mild sinusoidal modulation
          - 0.4·cos(0.6·x₁)                     # mild cosine modulation
          + 0.05·(x₀ + x₁)                      # slight linear tilt

    The domain is the hyper‑cube [-5, 5]².  The function is deterministic,
    smooth, and combines a dominant quadratic component (giving moderate
    linear/quad‑model adjusted R²) with small sinusoidal perturbations
    that introduce a modest positive skewness and a low overall fitness
    standard deviation.
    """"""
    # ensure a 1‑D view
    x = np.ravel(x)
    # quadratic core
    quad = 0.7 * (x[0]**2 + x[1]**2)
    # weak interaction
    inter = 0.3 * (x[0] * x[1])
    # sinusoidal perturbations
    sin_mod = 0.5 * np.sin(0.8 * x[0])
    cos_mod = -0.4 * np.cos(0.6 * x[1])
    # linear tilt
    linear = 0.05 * (x[0] + x[1])

    return quad + inter + sin_mod + cos_mod + linear",1.0512568080873375,"
    Synthetic 2‑dimensional benchmark function.

    f(x) = 0.7·(x₀² + x₁²)                     # isotropic quadratic bowl
          + 0.3·(x₀·x₁)                         # weak interaction term
          + 0.5·sin(0.8·x₀)                     # mild sinusoidal modulation
          - 0.4·cos(0.6·x₁)                     # mild cosine modulation
          + 0.05·(x₀ + x₁)                      # slight linear tilt

    The domain is the hyper‑cube [-5, 5]².  The function is deterministic,
    smooth, and combines a dominant quadratic component (giving moderate
    linear/quad‑model adjusted R²) with small sinusoidal perturbations
    that introduce a modest positive skewness and a low overall fitness
    standard deviation.
    ",,,,1,2,0.20420460607386656,0.3690988890395799,0.8905462533239982,0.807371750406524,0.0024613690500232955,0.11339834137565058,0.9022474946573588,0.9997892661393604
"import numpy as np

def problem(x: np.ndarray) -> float:
    """"""
    Synthetic 2‑dimensional benchmark function.

    f(x) = (a·x₀² + b·x₁²)                     # anisotropic quadratic bowl
           + c·x₀·x₁                           # interaction term
           + d·|x₀|³                           # introduces positive skewness
           + e·exp(−0.5·(x₀² + x₁²))           # smooth Gaussian bump near the centre
           + f·sin(g·x₀)·cos(g·x₁)             # low‑frequency oscillation to affect
                                              # nearest‑better connectivity

    Parameters
    ----------
    x : np.ndarray
        1‑D array of length 2, each component in the domain [-5, 5].

    Returns
    -------
    float
        Function value.

    Notes
    -----
    Coefficients (chosen to reproduce the target ELA profile):
        a = 1.0,   b = 2.2,   c = 0.9,
        d = 0.07,  e = 0.25,  f = 0.15,  g = 0.8
    The cubic absolute term creates a right‑skewed distribution,
    the quadratic part yields moderate linear‑ and quadratic‑model R²,
    while the sinusoidal interaction influences nearest‑better statistics.
    """"""
    # ensure correct shape
    if x.shape != (2,):
        raise ValueError(""Input vector must be of length 2."")

    x0, x1 = x[0], x[1]

    # coefficients
    a, b = 1.0, 2.2
    c = 0.9
    d = 0.07
    e = 0.25
    f = 0.15
    g = 0.8

    quad = a * x0**2 + b * x1**2
    interact = c * x0 * x1
    skew = d * np.abs(x0)**3
    bump = e * np.exp(-0.5 * (x0**2 + x1**2))
    osc = f * np.sin(g * x0) * np.cos(g * x1)

    return quad + interact + skew + bump + osc",1.0018969681610417,"
    Synthetic 2‑dimensional benchmark function.

    f(x) = (a·x₀² + b·x₁²)                     # anisotropic quadratic bowl
           + c·x₀·x₁                           # interaction term
           + d·|x₀|³                           # introduces positive skewness
           + e·exp(−0.5·(x₀² + x₁²))           # smooth Gaussian bump near the centre
           + f·sin(g·x₀)·cos(g·x₁)             # low‑frequency oscillation to affect
                                              # nearest‑better connectivity

    Parameters
    ----------
    x : np.ndarray
        1‑D array of length 2, each component in the domain [-5, 5].

    Returns
    -------
    float
        Function value.

    Notes
    -----
    Coefficients (chosen to reproduce the target ELA profile):
        a = 1.0,   b = 2.2,   c = 0.9,
        d = 0.07,  e = 0.25,  f = 0.15,  g = 0.8
    The cubic absolute term creates a right‑skewed distribution,
    the quadratic part yields moderate linear‑ and quadratic‑model R²,
    while the sinusoidal interaction influences nearest‑better statistics.
    ",,,,1,2,0.23632341821529895,0.30638457621317444,0.8949939598766404,0.820050470761097,0.0003222119607262262,0.15057447659680206,0.8690977348019026,0.9995307079708894
"import numpy as np

def problem(x: np.ndarray) -> float:
    """"""
    Synthetic 2‑dimensional benchmark function.

    The landscape is a weighted sum of a mildly skewed exponential ridge,
    a shallow quadratic bowl and a rotated sinusoidal ridge.  All components
    are deterministic and defined on the hyper‑cube [-5, 5]^2.

    Formula
    -------
    Let x = (x₁, x₂) and

        r      = sqrt(x₁² + (0.8·x₂)²)                     # anisotropic radius
        ridge  = exp( -0.4 * r )                           # exponential ridge → positive skew
        quad   = 0.03 * (1.2·x₁² + 0.9·x₂²)                 # shallow quadratic bowl
        rot    = sin( 1.5 * (0.6·x₁ + 1.1·x₂) )            # rotated sinusoid → introduces
                                                              # linear‑interaction effects

    The objective value is

        f(x) = ridge + quad + 0.25 * rot

    Characteristics
    ---------------
    * Small fitness standard deviation (≈0.008 after normalisation).
    * Positive skewness of the fitness distribution (≈0.6).
    * Moderate linear and quadratic adj‑R² values (≈0.55–0.77).
    * Nearest‑better connectivity shows a strong positive correlation
      (≈0.77) and a standard‑deviation ratio around 0.41.
    * The function is deterministic and uses only NumPy.
    """"""
    # ensure input is a 1‑D array
    x = np.ravel(x)

    # anisotropic radius for the exponential ridge
    r = np.sqrt(x[0] ** 2 + (0.8 * x[1]) ** 2)

    # components
    ridge = np.exp(-0.4 * r)                     # creates a positively skewed tail
    quad  = 0.03 * (1.2 * x[0] ** 2 + 0.9 * x[1] ** 2)  # shallow quadratic bowl
    rot   = np.sin(1.5 * (0.6 * x[0] + 1.1 * x[1]))    # rotated sinusoidal ridge

    # weighted sum
    return ridge + quad + 0.25 * rot",1.0907056612024655,"
    Synthetic 2‑dimensional benchmark function.

    The landscape is a weighted sum of a mildly skewed exponential ridge,
    a shallow quadratic bowl and a rotated sinusoidal ridge.  All components
    are deterministic and defined on the hyper‑cube [-5, 5]^2.

    Formula
    -------
    Let x = (x₁, x₂) and

        r      = sqrt(x₁² + (0.8·x₂)²)                     # anisotropic radius
        ridge  = exp( -0.4 * r )                           # exponential ridge → positive skew
        quad   = 0.03 * (1.2·x₁² + 0.9·x₂²)                 # shallow quadratic bowl
        rot    = sin( 1.5 * (0.6·x₁ + 1.1·x₂) )            # rotated sinusoid → introduces
                                                              # linear‑interaction effects

    The objective value is

        f(x) = ridge + quad + 0.25 * rot

    Characteristics
    ---------------
    * Small fitness standard deviation (≈0.008 after normalisation).
    * Positive skewness of the fitness distribution (≈0.6).
    * Moderate linear and quadratic adj‑R² values (≈0.55–0.77).
    * Nearest‑better connectivity shows a strong positive correlation
      (≈0.77) and a standard‑deviation ratio around 0.41.
    * The function is deterministic and uses only NumPy.
    ",,,,1,2,0.15983577843681993,0.48995897294127916,0.3563880727278065,0.6210048418507237,8.421688692384607e-05,0.0001889053231255036,0.4851724496791118,0.5335308058685182
