fid,time_seconds,success,error,method,model,dim,iid,problem_class,total_time_seconds
1,290.81672716140747,True,,eoh,google/gemini-2.0-flash-001,2,1,AFFINIC,936.7183711528778
2,291.5355269908905,True,,eoh,google/gemini-2.0-flash-001,2,1,AFFINIC,936.7183711528778
3,290.80586290359497,True,,eoh,google/gemini-2.0-flash-001,2,1,AFFINIC,936.7183711528778
4,291.54194593429565,True,,eoh,google/gemini-2.0-flash-001,2,1,AFFINIC,936.7183711528778
5,289.104412317276,True,,eoh,google/gemini-2.0-flash-001,2,1,AFFINIC,936.7183711528778
6,291.51920318603516,True,,eoh,google/gemini-2.0-flash-001,2,1,AFFINIC,936.7183711528778
7,290.7926640510559,True,,eoh,google/gemini-2.0-flash-001,2,1,AFFINIC,936.7183711528778
8,290.82537508010864,True,,eoh,google/gemini-2.0-flash-001,2,1,AFFINIC,936.7183711528778
9,331.237694978714,True,,eoh,google/gemini-2.0-flash-001,2,1,AFFINIC,936.7183711528778
10,331.2143979072571,True,,eoh,google/gemini-2.0-flash-001,2,1,AFFINIC,936.7183711528778
11,331.1729989051819,True,,eoh,google/gemini-2.0-flash-001,2,1,AFFINIC,936.7183711528778
12,331.23229718208313,True,,eoh,google/gemini-2.0-flash-001,2,1,AFFINIC,936.7183711528778
13,331.1897656917572,True,,eoh,google/gemini-2.0-flash-001,2,1,AFFINIC,936.7183711528778
14,331.17729806900024,True,,eoh,google/gemini-2.0-flash-001,2,1,AFFINIC,936.7183711528778
15,331.2389590740204,True,,eoh,google/gemini-2.0-flash-001,2,1,AFFINIC,936.7183711528778
16,331.2086730003357,True,,eoh,google/gemini-2.0-flash-001,2,1,AFFINIC,936.7183711528778
17,313.89381194114685,True,,eoh,google/gemini-2.0-flash-001,2,1,AFFINIC,936.7183711528778
18,313.86921787261963,True,,eoh,google/gemini-2.0-flash-001,2,1,AFFINIC,936.7183711528778
19,313.8343389034271,True,,eoh,google/gemini-2.0-flash-001,2,1,AFFINIC,936.7183711528778
20,310.28625082969666,True,,eoh,google/gemini-2.0-flash-001,2,1,AFFINIC,936.7183711528778
21,313.88980197906494,True,,eoh,google/gemini-2.0-flash-001,2,1,AFFINIC,936.7183711528778
22,313.83723425865173,True,,eoh,google/gemini-2.0-flash-001,2,1,AFFINIC,936.7183711528778
23,313.8464050292969,True,,eoh,google/gemini-2.0-flash-001,2,1,AFFINIC,936.7183711528778
24,313.8637011051178,True,,eoh,google/gemini-2.0-flash-001,2,1,AFFINIC,936.7183711528778
