fid,time_seconds,success,error,method,model,dim,iid,problem_class,total_time_seconds
1,265.6756360530853,True,,eoh,google/gemini-3-flash-preview,2,1,BBOB,881.0130670070648
2,272.7534079551697,True,,eoh,google/gemini-3-flash-preview,2,1,BBOB,881.0130670070648
3,266.1465861797333,True,,eoh,google/gemini-3-flash-preview,2,1,BBOB,881.0130670070648
4,266.16226267814636,True,,eoh,google/gemini-3-flash-preview,2,1,BBOB,881.0130670070648
5,264.1516227722168,True,,eoh,google/gemini-3-flash-preview,2,1,BBOB,881.0130670070648
6,265.69652009010315,True,,eoh,google/gemini-3-flash-preview,2,1,BBOB,881.0130670070648
7,264.1659028530121,True,,eoh,google/gemini-3-flash-preview,2,1,BBOB,881.0130670070648
8,265.7142848968506,True,,eoh,google/gemini-3-flash-preview,2,1,BBOB,881.0130670070648
9,276.6289370059967,True,,eoh,google/gemini-3-flash-preview,2,1,BBOB,881.0130670070648
10,276.6430468559265,True,,eoh,google/gemini-3-flash-preview,2,1,BBOB,881.0130670070648
11,276.65514397621155,True,,eoh,google/gemini-3-flash-preview,2,1,BBOB,881.0130670070648
12,276.7213888168335,True,,eoh,google/gemini-3-flash-preview,2,1,BBOB,881.0130670070648
13,276.7028181552887,True,,eoh,google/gemini-3-flash-preview,2,1,BBOB,881.0130670070648
14,276.6595480442047,True,,eoh,google/gemini-3-flash-preview,2,1,BBOB,881.0130670070648
15,276.68670177459717,True,,eoh,google/gemini-3-flash-preview,2,1,BBOB,881.0130670070648
16,276.67221307754517,True,,eoh,google/gemini-3-flash-preview,2,1,BBOB,881.0130670070648
17,309.4149971008301,True,,eoh,google/gemini-3-flash-preview,2,1,BBOB,881.0130670070648
18,331.5200891494751,True,,eoh,google/gemini-3-flash-preview,2,1,BBOB,881.0130670070648
19,301.54504919052124,True,,eoh,google/gemini-3-flash-preview,2,1,BBOB,881.0130670070648
20,284.7167069911957,True,,eoh,google/gemini-3-flash-preview,2,1,BBOB,881.0130670070648
21,305.5966308116913,True,,eoh,google/gemini-3-flash-preview,2,1,BBOB,881.0130670070648
22,283.4358882904053,True,,eoh,google/gemini-3-flash-preview,2,1,BBOB,881.0130670070648
23,286.5725028514862,True,,eoh,google/gemini-3-flash-preview,2,1,BBOB,881.0130670070648
24,270.6291620731354,True,,eoh,google/gemini-3-flash-preview,2,1,BBOB,881.0130670070648
