fid,time_seconds,success,error,method,model,dim,iid,problem_class,total_time_seconds
1,143.52742409706116,True,,eotf,google/gemini-2.0-flash-001,2,1,BBOB,4379.655935049057
2,160.23256611824036,True,,eotf,google/gemini-2.0-flash-001,2,1,BBOB,4379.655935049057
3,168.53864812850952,True,,eotf,google/gemini-2.0-flash-001,2,1,BBOB,4379.655935049057
4,185.9121868610382,True,,eotf,google/gemini-2.0-flash-001,2,1,BBOB,4379.655935049057
5,152.26262521743774,True,,eotf,google/gemini-2.0-flash-001,2,1,BBOB,4379.655935049057
6,171.9765248298645,True,,eotf,google/gemini-2.0-flash-001,2,1,BBOB,4379.655935049057
7,175.5118429660797,True,,eotf,google/gemini-2.0-flash-001,2,1,BBOB,4379.655935049057
8,162.14684295654297,True,,eotf,google/gemini-2.0-flash-001,2,1,BBOB,4379.655935049057
9,172.1183271408081,True,,eotf,google/gemini-2.0-flash-001,2,1,BBOB,4379.655935049057
10,189.42410588264465,True,,eotf,google/gemini-2.0-flash-001,2,1,BBOB,4379.655935049057
11,186.9145610332489,True,,eotf,google/gemini-2.0-flash-001,2,1,BBOB,4379.655935049057
12,174.98714327812195,True,,eotf,google/gemini-2.0-flash-001,2,1,BBOB,4379.655935049057
13,171.98657321929932,True,,eotf,google/gemini-2.0-flash-001,2,1,BBOB,4379.655935049057
14,188.64815878868103,True,,eotf,google/gemini-2.0-flash-001,2,1,BBOB,4379.655935049057
15,156.3273458480835,True,,eotf,google/gemini-2.0-flash-001,2,1,BBOB,4379.655935049057
16,204.0341968536377,True,,eotf,google/gemini-2.0-flash-001,2,1,BBOB,4379.655935049057
17,190.59795093536377,True,,eotf,google/gemini-2.0-flash-001,2,1,BBOB,4379.655935049057
18,177.3308129310608,True,,eotf,google/gemini-2.0-flash-001,2,1,BBOB,4379.655935049057
19,204.3254029750824,True,,eotf,google/gemini-2.0-flash-001,2,1,BBOB,4379.655935049057
20,200.72890090942383,True,,eotf,google/gemini-2.0-flash-001,2,1,BBOB,4379.655935049057
21,202.11617517471313,True,,eotf,google/gemini-2.0-flash-001,2,1,BBOB,4379.655935049057
22,187.76209902763367,True,,eotf,google/gemini-2.0-flash-001,2,1,BBOB,4379.655935049057
23,256.6925160884857,True,,eotf,google/gemini-2.0-flash-001,2,1,BBOB,4379.655935049057
24,195.54308676719666,True,,eotf,google/gemini-2.0-flash-001,2,1,BBOB,4379.655935049057
