fid,time_seconds,success,error,method,model,dim,iid,problem_class,total_time_seconds
1,6747.233747005463,True,,gp_baseline,gp,5,1,bbob,24043.497474193573
2,8106.854370832443,True,,gp_baseline,gp,5,1,bbob,24043.497474193573
3,6956.209066390991,True,,gp_baseline,gp,5,1,bbob,24043.497474193573
4,6071.216871023178,True,,gp_baseline,gp,5,1,bbob,24043.497474193573
5,7796.155117034912,True,,gp_baseline,gp,5,1,bbob,24043.497474193573
6,7391.057688951492,True,,gp_baseline,gp,5,1,bbob,24043.497474193573
7,8930.88305091858,True,,gp_baseline,gp,5,1,bbob,24043.497474193573
8,5951.51961517334,True,,gp_baseline,gp,5,1,bbob,24043.497474193573
9,6303.072862148285,True,,gp_baseline,gp,5,1,bbob,24043.497474193573
10,9757.054228067398,True,,gp_baseline,gp,5,1,bbob,24043.497474193573
11,10167.777033805847,True,,gp_baseline,gp,5,1,bbob,24043.497474193573
12,9148.330461978912,True,,gp_baseline,gp,5,1,bbob,24043.497474193573
13,9279.909877061844,True,,gp_baseline,gp,5,1,bbob,24043.497474193573
14,9839.025871038437,True,,gp_baseline,gp,5,1,bbob,24043.497474193573
15,9260.44669175148,True,,gp_baseline,gp,5,1,bbob,24043.497474193573
16,9200.006525039673,True,,gp_baseline,gp,5,1,bbob,24043.497474193573
17,9364.298295021057,True,,gp_baseline,gp,5,1,bbob,24043.497474193573
18,7795.158986091614,True,,gp_baseline,gp,5,1,bbob,24043.497474193573
19,6328.194622039795,True,,gp_baseline,gp,5,1,bbob,24043.497474193573
20,6883.539808273315,True,,gp_baseline,gp,5,1,bbob,24043.497474193573
21,5510.27635717392,True,,gp_baseline,gp,5,1,bbob,24043.497474193573
22,5421.760525226593,True,,gp_baseline,gp,5,1,bbob,24043.497474193573
23,6403.064108848572,True,,gp_baseline,gp,5,1,bbob,24043.497474193573
24,5388.647253990173,True,,gp_baseline,gp,5,1,bbob,24043.497474193573
