fid,time_seconds,success,error,method,model,dim,iid,problem_class,total_time_seconds
1,251.99611520767212,True,,zero_shot,google/gemini-2.0-flash-001,2,1,BBOB,796.7694237232208
2,251.9700322151184,True,,zero_shot,google/gemini-2.0-flash-001,2,1,BBOB,796.7694237232208
3,251.95737195014954,True,,zero_shot,google/gemini-2.0-flash-001,2,1,BBOB,796.7694237232208
4,251.92369508743286,True,,zero_shot,google/gemini-2.0-flash-001,2,1,BBOB,796.7694237232208
5,251.93248414993286,True,,zero_shot,google/gemini-2.0-flash-001,2,1,BBOB,796.7694237232208
6,257.20028376579285,True,,zero_shot,google/gemini-2.0-flash-001,2,1,BBOB,796.7694237232208
7,251.96989488601685,True,,zero_shot,google/gemini-2.0-flash-001,2,1,BBOB,796.7694237232208
8,252.69871997833252,True,,zero_shot,google/gemini-2.0-flash-001,2,1,BBOB,796.7694237232208
9,259.82033801078796,True,,zero_shot,google/gemini-2.0-flash-001,2,1,BBOB,796.7694237232208
10,259.7371928691864,True,,zero_shot,google/gemini-2.0-flash-001,2,1,BBOB,796.7694237232208
11,259.69896507263184,True,,zero_shot,google/gemini-2.0-flash-001,2,1,BBOB,796.7694237232208
12,259.7709000110626,True,,zero_shot,google/gemini-2.0-flash-001,2,1,BBOB,796.7694237232208
13,259.7497658729553,True,,zero_shot,google/gemini-2.0-flash-001,2,1,BBOB,796.7694237232208
14,259.7810220718384,True,,zero_shot,google/gemini-2.0-flash-001,2,1,BBOB,796.7694237232208
15,259.76970767974854,True,,zero_shot,google/gemini-2.0-flash-001,2,1,BBOB,796.7694237232208
16,259.7018780708313,True,,zero_shot,google/gemini-2.0-flash-001,2,1,BBOB,796.7694237232208
17,279.50036692619324,True,,zero_shot,google/gemini-2.0-flash-001,2,1,BBOB,796.7694237232208
18,279.5159909725189,True,,zero_shot,google/gemini-2.0-flash-001,2,1,BBOB,796.7694237232208
19,279.7292311191559,True,,zero_shot,google/gemini-2.0-flash-001,2,1,BBOB,796.7694237232208
20,279.5217161178589,True,,zero_shot,google/gemini-2.0-flash-001,2,1,BBOB,796.7694237232208
21,279.4756739139557,True,,zero_shot,google/gemini-2.0-flash-001,2,1,BBOB,796.7694237232208
22,279.49761605262756,True,,zero_shot,google/gemini-2.0-flash-001,2,1,BBOB,796.7694237232208
23,279.53308272361755,True,,zero_shot,google/gemini-2.0-flash-001,2,1,BBOB,796.7694237232208
24,279.5228087902069,True,,zero_shot,google/gemini-2.0-flash-001,2,1,BBOB,796.7694237232208
